record_id,sale_date,day_of_week,is_weekend,branch,category,campaign,customers_count,employee_count,units_sold,avg_price_per_unit,discount_rate,sales_amount,cost_amount,gross_profit,payment_method,returned,satisfaction_score,branch_a_outlier,special_high_sales_day
R00716,2026-01-01,????????,FALSE,A,Fashion,None,102,16,87,856.87,4.4%,"71,267.27","39,750.15","31,517.12",Credit Card,FALSE,3.5,FALSE,FALSE
R00757,2026-01-01,????????,FALSE,A,Fashion,None,65,15,62,369.52,2.6%,"22,314.77","12,729.54","9,585.23",E-Wallet,FALSE,3.8,FALSE,FALSE
R00760,2026-01-01,????????,FALSE,A,Electronics,None,196,28,73,"1,746.21",2.9%,"123,776.77","89,184.70","34,592.07",Mobile Banking,FALSE,3.9,FALSE,FALSE
R00996,2026-01-01,????????,FALSE,A,Beauty,None,113,20,79,894.04,3.9%,"67,874.46","33,400.48","34,473.98",Credit Card,FALSE,4.4,FALSE,FALSE
R01610,2026-01-01,????????,FALSE,A,Beauty,Weekend Boost,118,24,87,425.45,7.1%,"34,386.39","17,031.75","17,354.64",Credit Card,FALSE,4,FALSE,FALSE
R02004,2026-01-01,????????,FALSE,A,Electronics,Member Day,151,20,66,"1,865.97",7.4%,"114,040.53","82,993.46","31,047.07",Cash,FALSE,4.5,FALSE,FALSE
R01174,2026-01-01,????????,FALSE,B,Food & Beverage,Clearance Sale,156,23,190,616.42,16.0%,"98,380.09","58,984.56","39,395.53",QR Payment,FALSE,4.6,FALSE,FALSE
R00290,2026-01-01,????????,FALSE,C,Fashion,None,115,20,98,651.21,1.5%,"62,861.46","38,333.79","24,527.67",QR Payment,TRUE,3.3,FALSE,FALSE
R01418,2026-01-01,????????,FALSE,C,Food & Beverage,None,115,21,142,245.00,1.6%,"34,233.14","21,257.71","12,975.43",QR Payment,FALSE,3.9,FALSE,FALSE
R01448,2026-01-01,????????,FALSE,C,Fashion,Weekend Boost,170,24,133,820.63,5.9%,"102,704.05","61,933.93","40,770.12",Credit Card,FALSE,4.7,FALSE,FALSE
R00242,2026-01-01,????????,FALSE,D,Home & Living,Payday Promo,79,14,58,955.12,10.4%,"49,635.59","31,914.83","17,720.76",QR Payment,FALSE,4.2,FALSE,FALSE
R00349,2026-01-01,????????,FALSE,D,Electronics,Clearance Sale,98,18,29,"2,176.03",16.6%,"52,629.40","37,322.55","15,306.85",Credit Card,FALSE,3.2,FALSE,FALSE
R00864,2026-01-01,????????,FALSE,D,Beauty,Clearance Sale,153,22,100,"1,419.85",17.7%,"116,853.89","61,090.43","55,763.46",Credit Card,FALSE,4.7,FALSE,FALSE
R01996,2026-01-01,????????,FALSE,D,Sports,None,147,22,92,941.82,2.9%,"84,135.05","46,930.75","37,204.30",Credit Card,FALSE,3.8,FALSE,FALSE
R00014,2026-01-01,????????,FALSE,E,Fashion,Clearance Sale,150,26,140,744.39,16.3%,"87,228.03","49,024.85","38,203.18",QR Payment,FALSE,5,FALSE,FALSE
R01041,2026-01-01,????????,FALSE,E,Electronics,Payday Promo,138,24,74,"1,340.80",10.8%,"88,503.35","64,412.48","24,090.87",Mobile Banking,FALSE,3.3,FALSE,FALSE
R01120,2026-01-01,????????,FALSE,E,Food & Beverage,None,114,17,140,509.02,4.2%,"68,270.34","41,700.80","26,569.54",QR Payment,FALSE,3.8,FALSE,FALSE
R01388,2026-01-01,????????,FALSE,E,Food & Beverage,Weekend Boost,85,19,104,141.13,7.4%,"13,591.42","8,350.94","5,240.48",Cash,FALSE,4.5,FALSE,FALSE
R01297,2026-01-02,?????,FALSE,A,Electronics,Member Day,121,19,26,"2,881.41",9.7%,"67,649.84","48,408.54","19,241.30",QR Payment,FALSE,4.3,FALSE,FALSE
R02264,2026-01-02,?????,FALSE,A,Home & Living,None,106,22,68,651.45,5.9%,"41,685.02","27,440.81","14,244.21",E-Wallet,FALSE,3.5,FALSE,FALSE
R00416,2026-01-02,?????,FALSE,B,Electronics,None,130,20,55,"1,241.05",3.6%,"65,800.51","47,664.62","18,135.89",Cash,FALSE,4.4,FALSE,FALSE
R01461,2026-01-02,?????,FALSE,B,Fashion,None,192,30,162,842.35,3.1%,"132,231.18","75,747.75","56,483.43",Credit Card,FALSE,4,FALSE,FALSE
R01769,2026-01-02,?????,FALSE,B,Food & Beverage,None,179,32,207,479.63,4.2%,"95,114.26","59,415.91","35,698.35",Credit Card,FALSE,5,FALSE,FALSE
R02391,2026-01-02,?????,FALSE,B,Food & Beverage,Member Day,120,21,127,541.04,8.2%,"63,077.77","39,467.93","23,609.84",Credit Card,FALSE,4.4,FALSE,FALSE
R01110,2026-01-02,?????,FALSE,C,Fashion,None,132,21,108,756.73,3.5%,"78,866.43","44,942.48","33,923.95",QR Payment,FALSE,4.2,FALSE,FALSE
R02826,2026-01-02,?????,FALSE,C,Fashion,None,70,17,56,596.96,2.8%,"32,493.80","18,422.75","14,071.05",Credit Card,FALSE,4.3,FALSE,FALSE
